1739, 18.68, 2.23
1744, 19.03, 2.37
1749, 18.89, 2.56
1754, 19.03, 2.29
1759, 19.04, 2.37
1764, 18.49, 2.47
1769, 18.96, 2.50
1774, 18.78, 2.38
1779, 18.71, 2.46
1784, 18.91, 2.32
1789, 18.98, 2.41
1794, 18.91, 2.49
1799, 18.49, 2.38
1804, 18.59, 2.27
1809, 18.76, 2.60
1814, 18.43, 2.50
1819, 19.08, 2.50
1824, 19.22, 2.46
1829, 18.99, 2.29
1834, 18.89, 2.37
1839, 18.80, 2.35
1844, 18.65, 2.47
1849, 18.85, 2.40
1854, 18.84, 2.44
1859, 18.75, 2.31
1864, 18.45, 2.46
1869, 18.48, 2.43
1874, 19.00, 2.27
1879, 19.05, 2.46
1884, 18.60, 2.41
1889, 19.00, 2.34
1894, 19.08, 2.38
1899, 18.75, 2.37
1904, 18.78, 2.49
1909, 18.80, 2.46
1914, 18.79, 2.40
1919, 18.83, 2.12
1924, 18.83, 2.50
1929, 18.80, 2.49
1934, 18.65, 2.34
1939, 18.41, 2.44
1944, 18.77, 2.34
1949, 18.93, 2.43
1954, 19.04, 2.35
1959, 19.08, 2.46
1964, 18.82, 2.37
1969, 19.06, 2.52
1974, 18.80, 2.35
1979, 18.84, 2.34
1984, 18.85, 2.43
1989, 18.93, 2.32
1994, 18.73, 2.38
1999, 18.88, 2.34
2004, 18.52, 2.31
2009, 18.57, 2.38
2014, 18.94, 2.40
2019, 18.84, 2.17
2024, 18.58, 2.37
2029, 19.10, 2.50
2034, 19.00, 2.35
2039, 18.76, 2.38
2044, 18.66, 2.38
2049, 19.17, 2.46
2054, 18.41, 2.37
2059, 18.76, 2.31
2064, 18.96, 2.53
2069, 18.72, 2.49
2074, 18.69, 2.32
2079, 18.94, 2.34
2084, 18.73, 2.49
2089, 18.88, 2.43
2094, 18.80, 2.41
2099, 18.74, 2.47
2104, 18.87, 2.52
2109, 19.01, 2.49
2114, 18.92, 2.35
2119, 18.90, 2.41
2124, 18.92, 2.56
2129, 18.76, 2.37
2134, 18.73, 2.21
2139, 18.71, 2.18
2144, 19.12, 2.38
2149, 18.83, 2.31
2154, 18.77, 2.31
2159, 18.74, 2.49
2164, 18.81, 2.32
2169, 19.08, 2.50
2174, 19.16, 2.27
2179, 18.81, 2.38
2184, 18.79, 2.50
2189, 18.64, 2.37
2194, 19.15, 2.34
2199, 18.80, 2.35
2204, 18.84, 2.31
2209, 18.79, 2.23
2214, 18.65, 2.18
2219, 18.76, 2.43
2224, 18.48, 2.38
2229, 18.71, 2.34
2234, 18.71, 2.43
2239, 18.70, 2.41
2244, 18.76, 2.29
2249, 18.89, 2.38
2254, 18.71, 2.35
2259, 18.34, 2.34
2264, 18.69, 2.38
2269, 18.74, 2.44
2274, 18.52, 2.31
2279, 18.44, 2.38
2284, 18.71, 2.35
2289, 19.13, 2.41
2294, 18.49, 2.31
2299, 18.67, 2.38
2304, 18.80, 2.53
2309, 18.63, 2.27
2314, 18.56, 2.34
2319, 18.98, 2.37
2324, 18.73, 2.46
2329, 18.67, 2.27
2334, 18.79, 2.34
2339, 18.82, 2.34
2344, 18.85, 2.31
2349, 18.77, 2.37
2354, 18.68, 2.53
2359, 18.65, 2.38
2364, 18.72, 2.49
2369, 18.64, 2.41
2374, 19.09, 2.40
2379, 18.98, 2.29
2384, 18.64, 2.37
2389, 18.60, 2.53
2394, 18.74, 2.24
2399, 18.68, 2.53
2404, 18.57, 2.32
2409, 18.41, 2.41
2414, 18.96, 2.31
2419, 18.52, 2.34
2424, 18.90, 2.43
2429, 18.64, 2.44
2434, 18.64, 2.43
2439, 18.91, 2.31
2444, 18.75, 2.49
2449, 18.73, 2.44
2454, 18.62, 2.53
2459, 18.85, 2.49
2464, 18.94, 2.46
2469, 18.63, 2.44
2474, 18.64, 2.44
2479, 18.52, 2.50
2484, 18.77, 2.40
2489, 18.69, 2.31
2494, 18.74, 2.46
2499, 18.66, 2.41
2504, 19.08, 2.58
2509, 19.05, 2.34
2514, 18.57, 2.32
2519, 18.66, 2.44
2524, 18.45, 2.46
2529, 19.01, 2.41
2534, 18.71, 2.21
2539, 19.01, 2.43
2544, 18.81, 2.46
2549, 18.92, 2.32
2554, 18.61, 2.47
2559, 18.35, 2.47
2564, 18.88, 2.37
2569, 18.72, 2.43
2574, 18.63, 2.46
2579, 18.62, 2.20
2584, 19.07, 2.37
2589, 18.52, 2.37
2594, 18.57, 2.32
2599, 18.84, 2.38
2604, 18.64, 2.31
2609, 18.64, 2.56
2614, 18.76, 2.35
2619, 18.82, 2.15
2624, 18.89, 2.35
2629, 18.90, 2.37
2634, 18.63, 2.41
2639, 19.00, 2.41
2644, 18.60, 2.34
2649, 18.72, 2.47
2654, 19.01, 2.43
2659, 18.49, 2.49
2664, 18.71, 2.37
2669, 18.64, 2.55
2674, 18.88, 2.15
2679, 18.43, 2.29
2684, 18.93, 2.37
2689, 19.02, 2.41
2694, 18.81, 2.46
2699, 18.69, 2.23
2704, 18.72, 2.47
2709, 19.23, 2.38
2714, 18.66, 2.35
2719, 18.80, 2.32
2724, 18.60, 2.55
2729, 18.73, 2.37
2734, 18.84, 2.34
2739, 18.80, 2.37
2744, 18.76, 2.34
2749, 19.42, 2.23
2754, 18.81, 2.35
2759, 18.52, 2.38
2764, 18.69, 2.32
2769, 18.56, 2.35
2774, 18.65, 2.41
2779, 18.38, 2.52
2784, 18.74, 2.44
2789, 18.85, 2.27
2794, 19.00, 2.46
2799, 18.63, 2.49
2804, 19.31, 2.32
2809, 19.31, 2.27
2814, 19.14, 2.37
2819, 18.76, 2.32
2824, 18.96, 2.38
2829, 18.76, 2.53
2834, 18.48, 2.34
2839, 18.82, 2.35
2844, 18.48, 2.47
2849, 18.67, 2.26
2854, 19.01, 2.31
2859, 18.86, 2.35
2864, 18.92, 2.37
2869, 18.97, 2.46
2874, 18.96, 2.49
2879, 19.02, 2.38
2884, 18.64, 2.26
2889, 18.81, 2.37
2894, 18.62, 2.40
2899, 18.99, 2.41
2904, 18.73, 2.47
2909, 18.87, 2.29
2914, 18.98, 2.47
2919, 18.61, 2.32
2924, 19.10, 2.23
2929, 18.75, 2.34
2934, 19.01, 2.37
2939, 18.67, 2.32
2944, 18.96, 2.32
2949, 18.44, 2.49
2954, 18.77, 2.23
2959, 18.96, 2.43
2964, 18.80, 2.41
2969, 18.49, 2.44
2974, 18.44, 2.41
2979, 18.54, 2.27
2984, 18.80, 2.23
2989, 19.08, 2.44
2994, 18.92, 2.27
2999, 18.78, 2.35
3004, 19.01, 2.40
3009, 18.72, 2.49
3014, 18.82, 2.26
3019, 18.80, 2.29
3024, 18.77, 2.44
3029, 18.74, 2.18
3034, 18.53, 2.47
3039, 18.62, 2.40
3044, 19.21, 2.46
3049, 18.72, 2.31
3054, 18.78, 2.20
3059, 18.84, 2.47
3064, 19.45, 2.41
3069, 18.73, 2.32
3074, 18.58, 2.41
3079, 18.96, 2.46
3084, 18.92, 2.34
3089, 18.94, 2.26
3094, 18.61, 2.26
3099, 19.16, 2.29
3104, 19.03, 2.47
3109, 18.67, 2.53
3114, 18.57, 2.41
3119, 18.76, 2.17
3124, 18.89, 2.56
3129, 18.63, 2.55
3134, 18.93, 2.49
3139, 18.86, 2.29
3144, 19.37, 2.17
3149, 18.57, 2.41
3154, 18.76, 2.41
3159, 18.78, 2.35
3164, 18.81, 2.50
3169, 18.84, 2.32
3174, 18.77, 2.27
3179, 18.56, 2.60
3184, 18.83, 2.40
3189, 18.79, 2.38
3194, 18.76, 2.47
3199, 19.08, 2.24
3204, 18.81, 2.24
3209, 19.01, 2.27
3214, 18.87, 2.29
3219, 18.75, 2.26
3224, 18.81, 2.40
3229, 18.66, 2.40
3234, 18.70, 2.35
3239, 18.79, 2.37
3244, 18.46, 2.31
3249, 18.73, 2.37
3254, 18.82, 2.46
3259, 18.88, 2.50
3264, 18.97, 2.64
3269, 18.88, 2.34
3274, 18.82, 2.52
3279, 18.93, 2.38
3284, 18.48, 2.41
3289, 18.77, 2.31
3294, 18.52, 2.41
3299, 18.52, 2.32
3304, 18.80, 2.49
3309, 18.55, 2.34
3314, 18.68, 2.40
3319, 18.81, 2.34
3324, 18.64, 2.52
3329, 18.76, 2.32
3334, 18.81, 2.38
3339, 18.92, 2.24
3344, 18.88, 2.37
3349, 18.70, 2.44
3354, 18.31, 2.47
3359, 18.85, 2.53
3364, 18.85, 2.43
3369, 18.56, 2.26
3374, 18.89, 2.35
3379, 18.64, 2.46
3384, 19.21, 2.37
3389, 18.76, 2.44
3394, 18.65, 2.34
3399, 18.47, 2.38
3404, 19.05, 2.52
3409, 18.56, 2.21
3414, 18.94, 2.40
3419, 18.78, 2.44
3424, 18.71, 2.43
3429, 18.94, 2.29
3434, 18.25, 2.40
3439, 18.69, 2.35
3444, 18.49, 2.43
3449, 18.68, 2.60
3454, 18.65, 2.41
3459, 18.90, 2.27
3464, 18.72, 2.31
3469, 18.40, 2.38
3474, 18.68, 2.29
3479, 18.66, 2.34
3484, 18.76, 2.43
3489, 18.80, 2.34
3494, 19.00, 2.27
3499, 19.12, 2.40
3504, 18.85, 2.31
3509, 18.62, 2.41
3514, 18.64, 2.35
3519, 18.96, 2.38
3524, 18.92, 2.31
3529, 19.00, 2.47
3534, 18.93, 2.43
3539, 18.77, 2.35
3544, 18.75, 2.18
3549, 18.98, 2.24
3554, 18.74, 2.40
3559, 18.81, 2.15
3564, 18.97, 2.27
3569, 18.61, 2.40
3574, 18.99, 2.43
3579, 18.59, 2.32
3584, 18.77, 2.35
3589, 18.86, 2.38
3594, 18.69, 2.49
3599, 19.04, 2.49
3604, 19.00, 2.38
3609, 18.76, 2.43
3614, 18.45, 2.35
3619, 18.56, 2.43
3624, 18.49, 2.49
3629, 18.79, 2.41
3634, 18.71, 2.24
3639, 19.06, 2.31
3644, 18.30, 2.50
3649, 18.27, 2.47
3654, 18.76, 2.34
3659, 18.78, 2.32
3664, 18.54, 2.32
3669, 19.06, 2.44
3674, 18.77, 2.53
3679, 18.65, 2.50
3684, 18.79, 2.43
3689, 18.83, 2.24
3694, 18.57, 2.29
3699, 18.43, 2.23
3704, 18.91, 2.38
3709, 19.15, 2.44
3714, 18.96, 2.26
3719, 18.89, 2.24
3724, 18.86, 2.32
3729, 18.76, 2.49
3734, 19.20, 2.43
3739, 18.55, 2.40
3744, 18.84, 2.37
3749, 18.84, 2.38
3754, 19.11, 2.34
3759, 18.72, 2.29
3764, 19.02, 2.47
3769, 18.91, 2.46
3774, 18.44, 2.43
3779, 18.95, 2.35
3784, 18.73, 2.49
3789, 18.95, 2.31
3794, 18.55, 2.44
3799, 18.87, 2.40
3804, 18.46, 2.29
3809, 18.72, 2.38
3814, 18.68, 2.43
3819, 19.00, 2.31
3824, 19.11, 2.34
3829, 19.29, 2.38
3834, 18.93, 2.23
3839, 18.86, 2.37
3844, 18.98, 2.40
3849, 18.67, 2.41
3854, 19.04, 2.38
3859, 18.77, 2.46
3864, 19.01, 2.41
3869, 18.63, 2.49
3874, 18.80, 2.35
3879, 19.09, 2.37
3884, 19.01, 2.40
3889, 19.14, 2.31
3894, 18.50, 2.47
3899, 19.12, 2.38
3904, 18.56, 2.37
3909, 18.64, 2.49
3914, 18.77, 2.50
3919, 18.61, 2.37
3924, 18.97, 2.31
3929, 18.32, 2.27
3934, 18.37, 2.37
3939, 18.82, 2.29
3944, 18.69, 2.31
3949, 18.98, 2.43
3954, 18.59, 2.41
3959, 19.14, 2.44
3964, 18.73, 2.43
3969, 18.86, 2.34
3974, 19.08, 2.46
3979, 19.04, 2.49
3984, 19.08, 2.58
3989, 18.45, 2.49
3994, 18.74, 2.40
3999, 18.71, 2.50
4004, 19.31, 2.41
4009, 19.20, 2.37
4014, 18.75, 2.37
4019, 18.99, 2.35
4024, 18.57, 2.47
4029, 18.43, 2.40
4034, 18.79, 2.37
4039, 18.77, 2.40
4044, 18.60, 2.35
4049, 19.09, 2.18
4054, 18.83, 2.47
4059, 18.59, 2.55
4064, 19.22, 2.29
4069, 18.55, 2.41
4074, 18.87, 2.43
4079, 18.95, 2.49
4084, 18.50, 2.46
4089, 18.96, 2.35
4094, 18.79, 2.31
4099, 18.74, 2.41
4104, 18.65, 2.41
4109, 18.89, 2.35
4114, 18.76, 2.35
4119, 18.56, 2.43
4124, 18.69, 2.47
4129, 18.71, 2.44
4134, 18.87, 2.43
4139, 18.90, 2.41
4144, 18.78, 2.38
4149, 18.60, 2.41
4154, 18.67, 2.34
4159, 18.71, 2.46
4164, 18.40, 2.52
4169, 18.70, 2.40
4174, 18.71, 2.35
4179, 19.19, 2.43
4184, 19.37, 2.47
4189, 18.81, 2.27
4194, 19.02, 2.49
4199, 18.64, 2.35
4204, 18.84, 2.20
4209, 19.09, 2.47
4214, 18.84, 2.31
4219, 18.50, 2.43
4224, 19.14, 2.31
4229, 18.68, 2.47
4234, 18.97, 2.35
4239, 18.68, 2.49
4244, 18.93, 2.44
4249, 19.01, 2.52
4254, 18.90, 2.40
4259, 18.60, 2.29
4264, 18.77, 2.52
4269, 18.71, 2.41
4274, 19.00, 2.34
4279, 18.80, 2.32
4284, 18.99, 2.35
4289, 18.48, 2.47
4294, 18.89, 2.27
4299, 18.86, 2.43
4304, 18.52, 2.37
4309, 18.68, 2.37
4314, 18.80, 2.43
4319, 18.66, 2.40
4324, 18.99, 2.41
4329, 18.79, 2.37
4334, 18.42, 2.35
4339, 18.92, 2.46
4344, 18.83, 2.12
4349, 18.70, 2.50
4354, 18.72, 2.47
4359, 19.30, 2.27
4364, 18.84, 2.47
4369, 18.60, 2.32
4374, 18.60, 2.46
4379, 18.81, 2.29
4384, 18.66, 2.41
4389, 18.65, 2.38
4394, 18.85, 2.38
4399, 18.51, 2.47
4404, 18.93, 2.37
4409, 18.87, 2.44
4414, 18.70, 2.52
4419, 18.82, 2.52
4424, 19.00, 2.38
4429, 18.94, 2.60
4434, 18.48, 2.56
4439, 19.09, 2.29
4444, 18.59, 2.09
4449, 18.56, 2.24
4454, 18.72, 2.34
4459, 18.86, 2.34
4464, 18.89, 2.34
4469, 18.69, 2.46
4474, 19.01, 2.40
4479, 18.89, 2.46
4484, 18.96, 2.37
4489, 18.72, 2.43
4494, 18.68, 2.40
4499, 18.78, 2.34
4504, 18.49, 2.50
4509, 18.85, 2.35
4514, 18.97, 2.44
4519, 19.06, 2.29
4524, 18.85, 2.35
4529, 18.82, 2.34
4534, 18.70, 2.32
4539, 19.05, 2.40
4544, 18.68, 2.41
4549, 18.43, 2.49
4554, 18.84, 2.38
4559, 18.91, 2.41
4564, 19.28, 2.46
4569, 18.64, 2.34
4574, 18.72, 2.46
4579, 18.74, 2.40
